ticker,publish_date,publish_time,title,url,sentiment,importance,summary,translate
news,2025-07-09,02:30,Bitcoin price today: sticks near $109k as traders await tariff fallout By Investing.com,https://www.investing.com/news/cryptocurrency-news/bitcoin-price-today-sticks-near-109k-as-traders-await-tariff-fallout-4127533,Neutral,4,"Bitcoin's price remains stable near $109k, showing limited movement as investors react cautiously to new U.S. tariff announcements by President Trump, which are raising fears of a global economic slowdown. Traders are also anticipating potential regulatory clarity during ""Crypto Week"" in mid-July and noted Trump Media's filing for a new crypto ETF.","ราคา Bitcoin ยังคงทรงตัวใกล้ $109k โดยแสดงการเคลื่อนไหวที่จำกัด เนื่องจากนักลงทุนตอบสนองอย่างระมัดระวังต่อการประกาศอัตราภาษีใหม่ของ U.S. โดย President Trump ซึ่งกำลังก่อให้เกิดความกังวลเกี่ยวกับการชะลอตัวของเศรษฐกิจโลก นอกจากนี้ เทรดเดอร์ยังคาดการณ์ถึงความชัดเจนด้านกฎระเบียบที่อาจเกิดขึ้นในช่วง ""Crypto Week"" กลางเดือนกรกฎาคม และสังเกตเห็นการยื่นขอ crypto ETF ใหม่ของ Trump Media"
news,2025-07-09,01:34,Gold prices pressured by dollar strength; Copper hits record high on Trump tariff By Investing.com,https://www.investing.com/news/commodities-news/gold-prices-pressured-by-dollar-strength-copper-hits-record-high-on-trump-tariff-4127491,Positive,5,"Gold prices declined due to a stronger dollar and reduced safe haven demand amid tariff and interest rate uncertainty. US copper prices surged to record highs following President Trump's threat of a 50% tariff on imports, a move expected to greatly benefit domestic producers like Freeport-McMoran.",ราคาทองคำปรับตัวลดลงเนื่องจากค่าเงิน dollar แข็งค่าขึ้นและความต้องการสินทรัพย์ปลอดภัยลดลงท่ามกลางความไม่แน่นอนของ tariff และอัตราดอกเบี้ย ราคาทองแดง US พุ่งสูงขึ้นเป็นประวัติการณ์หลังจากที่ President Trump ขู่ว่าจะเก็บ tariff 50% สำหรับสินค้านำเข้า ซึ่งคาดว่าจะส่งผลดีอย่างมากต่อผู้ผลิตในประเทศเช่น Freeport-McMoran
news,2025-07-09,00:42,Apple to bid for Formula 1 rights in US amid success of Brad Pitt film- FT By Investing.com,https://www.investing.com/news/stock-market-news/apple-to-bid-for-formula-1-rights-in-us-amid-success-of-brad-pitt-film-ft-4127454,Positive,4,"Apple is reportedly planning to bid for the U.S. broadcasting rights for Formula 1 next year, challenging current holder ESPN. This potential move follows the success of Apple's F1-themed movie and aligns with the company's strategy to expand its live sports streaming content.",มีรายงานว่า Apple วางแผนที่จะยื่นประมูลสิทธิ์ในการถ่ายทอดสด Formula 1 ในสหรัฐอเมริกาในปีหน้า โดยเป็นการท้าทาย ESPN ซึ่งเป็นผู้ถือสิทธิ์ปัจจุบัน การเคลื่อนไหวที่อาจเกิดขึ้นนี้เป็นผลสืบเนื่องมาจากความสำเร็จของภาพยนตร์ที่มีธีม F1 ของ Apple และสอดคล้องกับกลยุทธ์ของบริษัทในการขยายเนื้อหาการสตรีมกีฬาถ่ายทอดสด
news,2025-07-08,23:34,"Super Micro to ramp up Europe manufacturing amid AI demand, CEO Liang tells CNBC By Investing.com",https://www.investing.com/news/stock-market-news/super-micro-to-ramp-up-europe-manufacturing-amid-ai-demand-ceo-liang-tells-cnbc-4127426,Positive,5,Super Micro Computer CEO Charles Liang announced plans to increase investment and ramp up AI server manufacturing in Europe. This expansion is driven by rapidly growing demand for AI infrastructure in the region. The company expects global demand to continue improving in the coming years.,"CEO ของ Super Micro Computer, Charles Liang ประกาศแผนการที่จะเพิ่มการลงทุนและเร่งการผลิต AI server ในยุโรป การขยายตัวนี้มีแรงผลักดันจากความต้องการที่เติบโตอย่างรวดเร็วสำหรับ AI infrastructure ในภูมิภาคนี้ บริษัทคาดการณ์ว่าความต้องการทั่วโลกจะยังคงปรับตัวดีขึ้นในอีกไม่กี่ปีข้างหน้า"
news,2025-07-08,22:47,"Asia stocks dither amid Trump tariff fears, mixed China inflation By Investing.com",https://www.investing.com/news/stock-market-news/asia-stocks-dither-amid-trump-tariff-fears-mixed-china-inflation-4127419,Negative,5,"Asian stocks traded mostly flat to lower as investors remained cautious due to renewed U.S. trade tariff threats from President Trump. Mixed inflation data from China, showing persistent deflationary pressures despite a slight consumer price beat, also weighed on market sentiment. Regional markets were further influenced by specific local factors like the RBA's unexpected decision not to cut rates.",หุ้นเอเชียส่วนใหญ่อยู่ในภาวะทรงตัวถึงปรับตัวลดลง เนื่องจากนักลงทุนยังคงระมัดระวังจากภัยคุกคามเรื่องมาตรการภาษีทางการค้าของ U.S. จาก President Trump ที่กลับมาอีกครั้ง ข้อมูลเงินเฟ้อที่หลากหลายจากจีน ซึ่งแสดงให้เห็นถึงแรงกดดันจากภาวะเงินฝืดที่ยังคงอยู่ แม้ว่าตัวเลข consumer price จะออกมาดีกว่าที่คาดการณ์ไว้เล็กน้อย ก็ส่งผลกระทบต่อความเชื่อมั่นของตลาดเช่นกัน ตลาดในภูมิภาคยังได้รับอิทธิพลจากปัจจัยเฉพาะในประเทศ เช่น การตัดสินใจที่ไม่คาดคิดของ RBA ที่จะไม่ลดอัตราดอกเบี้ย
news,2025-07-08,17:43,China’s ambitious AI push faces supply roadblock in Nvidia chip haul,https://www.investing.com/news/stock-market-news/chinas-ambitious-ai-push-faces-supply-roadblock-in-nvidia-chip-haul--bloomberg-4127359,Negative,5,"China has ambitious plans to install over 115,000 restricted Nvidia AI chips in data centers for its AI push. However, U.S. export controls prevent legal acquisition, and experts are highly skeptical that unofficial channels can supply the required volume, potentially constraining China's AI goals.","จีนมีแผนทะเยอทะยานที่จะติดตั้งชิป Nvidia AI ที่ถูกจำกัดกว่า 115,000 ชิ้นใน data centers เพื่อผลักดัน AI ของตน อย่างไรก็ตาม U.S. export controls ขัดขวางการได้มาอย่างถูกกฎหมาย และผู้เชี่ยวชาญมีความสงสัยอย่างมากว่าช่องทางที่ไม่เป็นทางการจะสามารถจัดหาปริมาณที่ต้องการได้ ซึ่งอาจจำกัดเป้าหมาย AI ของจีน"
news,2025-07-08,16:37,Apple names Sabih Khan as chief operating officer By Investing.com,https://www.investing.com/news/assorted/apple-names-sabih-khan-as-chief-operating-officer-432SI-4127275,Neutral,3,"Apple announced that Sabih Khan, currently senior vice president of Operations, will become chief operating officer later this month, succeeding Jeff Williams in a planned transition. Williams will oversee design and health initiatives until his retirement later this year, with Khan taking over the critical operations role.",Apple ประกาศว่า Sabih Khan ซึ่งปัจจุบันดำรงตำแหน่ง senior vice president of Operations จะดำรงตำแหน่ง chief operating officer ในปลายเดือนนี้ สืบต่อจาก Jeff Williams ในการเปลี่ยนผ่านที่วางแผนไว้ Williams จะดูแล design และโครงการริเริ่มด้าน health จนกว่าจะเกษียณอายุในปลายปีนี้ โดย Khan จะเข้ามารับช่วงต่อในบทบาทสำคัญด้าน operations
news,2025-07-08,16:25,Jeff Bezos sells nearly 3 million Amazon shares By Investing.com,https://www.investing.com/news/assorted/jeff-bezos-sells-nearly-3-million-amazon-shares-432SI-4127250,Neutral,4,"According to the news title, Jeff Bezos has sold approximately 3 million shares of Amazon stock. The provided text does not offer further details or context regarding the sale.","จากหัวข้อข่าว, Jeff Bezos ได้ขายหุ้นของ Amazon ประมาณ 3 ล้าน shares. เนื้อหาที่ให้มาไม่ได้ให้รายละเอียดหรือบริบทเพิ่มเติมเกี่ยวกับการขายนี้"
news,2025-07-08,08:04,"These could be the 5 biggest pain trades in the second half, HSBC says By Investing.com",https://www.investing.com/news/stock-market-news/these-could-be-the-5-biggest-pain-trades-in-the-second-half-hsbc-says-4126375,Neutral,5,"HSBC analysts warn that many investor positions have become ""stretched"" and consensus-driven in the second half of 2025, potentially leading to significant reversals. They identify five key ""pain trades,"" including U.S. equity outperformance, non-decelerating growth, a dollar comeback, yield curve flattening, and unwinding EM carry trades, which could inflict losses on investors holding these popular views.","นักวิเคราะห์ของ HSBC เตือนว่าสถานะของนักลงทุนจำนวนมากได้ ""stretched"" และขับเคลื่อนด้วย consensus ในช่วงครึ่งหลังของปี 2025 ซึ่งอาจนำไปสู่การเปลี่ยนแปลงที่สำคัญ พวกเขาระบุ ""pain trades"" หลัก 5 ประการ ได้แก่ U.S. equity outperformance, non-decelerating growth, a dollar comeback, yield curve flattening และ unwinding EM carry trades ซึ่งอาจสร้างความเสียหายแก่นักลงทุนที่ถือครองมุมมองที่เป็นที่นิยมเหล่านี้"
news,2025-07-08,07:24,’It’s dangerous to underestimate Corporate America’: BofA ups S&P 500 target By Investing.com,https://www.investing.com/news/stock-market-news/its-dangerous-to-underestimate-corporate-america-bofa-ups-sp-500-target-4126179,Positive,5,"Bank of America significantly raised its year-end S&P 500 target to 6,300 from 5,600, citing the resilience of U.S. corporations and a more favorable outlook for equities over bonds despite macroeconomic uncertainties. The bank also introduced a 12-month target of 6,600, believing a lower equity risk premium and factors like demographics and inflation favor stocks.","Bank of America ปรับเพิ่มเป้าหมาย S&P 500 สิ้นปีอย่างมีนัยสำคัญเป็น 6,300 จาก 5,600 โดยอ้างถึงความแข็งแกร่งของบริษัทในสหรัฐฯ และแนวโน้มที่เป็นบวกมากขึ้นสำหรับ equities เมื่อเทียบกับ bonds แม้จะมีความไม่แน่นอนทาง macroeconomic ธนาคารยังได้เปิดตัวเป้าหมาย 12 เดือนที่ 6,600 โดยเชื่อว่า equity risk premium ที่ต่ำลงและปัจจัยต่างๆ เช่น demographics และ inflation เอื้อต่อ stocks"
