ticker,publish_date,publish_time,title,url,sentiment,importance,summary,sentiment_score,weighted_score
SETI,2025-04-27,23:39,Asia stocks mixed amid US-China trade uncertainty; Toyota pushes Nikkei higher By Investing.com,https://www.investing.com/news/stock-market-news/asia-stocks-mixed-amid-uschina-trade-uncertainty-toyota-pushes-nikkei-higher-4006096,Neutral,3,"Asian stock markets were mixed on Monday, with Japanese shares rising due to a surge in Toyota's stock on potential buyout news, while Chinese markets were subdued amid persistent US-China trade uncertainty. Conflicting signals on trade talks and upcoming economic data releases contributed to investor caution across the region.",0,0
SETI,2025-04-24,18:42,US reinstates Thailand’s top aviation safety rating By Reuters,https://www.investing.com/news/stock-market-news/us-reinstates-thailands-top-aviation-safety-rating-4003675,Positive,4,"The U.S. Federal Aviation Administration has upgraded Thailand's air safety rating to ""Category 1,"" reversing a decade-old downgrade. This decision allows Thai airlines to resume or expand direct flights and code-share services to the United States, indicating compliance with international safety standards.",1,4
SETI,2025-04-21,00:34,Asia stocks mixed: China ticks up as PBoC stays pat; Japan drops after strong CPI By Investing.com,https://www.investing.com/news/stock-market-news/asia-stocks-mixed-china-ticks-up-as-pboc-stays-pat-japan-drops-after-strong-cpi-3992692,Neutral,4,"Asian stock markets were mixed on Monday, with China rising slightly after its central bank kept loan prime rates unchanged, while Japan fell following stronger-than-expected inflation data. Trading volumes were subdued due to holidays in several countries, and investors remained cautious about global trade tensions.",0,0
SETI,2025-03-31,23:45,Asia stocks rise tracking Wall St ahead of Trump tariffs; RBA holds rates By Investing.com,https://www.investing.com/news/stock-market-news/asia-stocks-rise-tracking-wall-st-ahead-of-trump-tariffs-rba-holds-rates-3959087,Neutral,5,"Asian stocks rose on Tuesday, tracking Wall Street gains, but investor caution remains high ahead of impending U.S. tariffs set for April 2. The Reserve Bank of Australia held interest rates steady as expected, while positive manufacturing data emerged from China.",0,0
SETI,2025-03-24,21:50,"Southeast Asian stocks feel the heat from economic, U.S. tariff worries By Reuters",https://www.investing.com/news/stock-market-news/southeast-asian-stocks-feel-the-heat-from-economic-us-tariff-worries-3945938,Negative,5,"Foreign investors are pulling money out of Southeast Asian stock markets, including Thailand, due to concerns over potential U.S. tariffs, domestic economic growth worries, and a shift towards more attractive Chinese equities. This has resulted in significant foreign outflows and underperformance for regional indices, with Thailand's SET index being highlighted as the worst performer.",-1,-5
SETI,2025-03-09,23:33,Asia stocks mixed amid tariff worries; China shares slip on weak inflation print By Investing.com,https://www.investing.com/news/stock-market-news/asia-stocks-mixed-amid-tariff-worries-china-shares-slip-on-weak-inflation-print-3916647,Negative,4,"Asian stock markets traded mixed due to investor caution over impending US tariffs, particularly the firm stance maintained on China. Chinese and Hong Kong markets declined significantly following data showing weaker-than-expected inflation and intensifying deflationary pressures in China.",-1,-4
SETI,2025-02-26,04:33,"Thai central bank cuts policy rate amid slow growth, global trade risks By Reuters",https://www.investing.com/news/economy-news/thai-central-bank-cuts-policy-rate-amid-slow-growth-global-trade-risks-3891780,Positive,5,Thailand's central bank cut its benchmark interest rate by 25 basis points to 2.00% in response to a weaker economic growth outlook and increased global trade risks. This decision aims to support the economy and follows repeated calls for easing from the government.,1,5
SETI,2025-02-17,01:25,"Thai Q4 GDP growth misses forecast, U.S. trade policy poses risks for 2025 By Reuters",https://www.investing.com/news/economy-news/thai-q4-gdp-growth-misses-forecast-us-trade-policy-poses-risks-for-2025-3872054,Negative,5,"Thailand's Q4 GDP growth missed forecasts, and the economic outlook for 2025 is clouded by risks, particularly potential U.S. trade tariffs on exports. The economy continues to face challenges from high debt and weak demand, leading the main stock index to drop significantly after the data release.",-1,-5
SETI,2025-02-11,22:50,Asia stocks rise led by Hong Kong tech surge; US inflation on tap By Investing.com,https://www.investing.com/news/stock-market-news/asia-stocks-rise-led-by-hong-kong-tech-surge-us-inflation-on-tap-3863364,Positive,1,"Most Asian stocks rose, primarily driven by a significant surge in Hong Kong's tech sector fueled by AI optimism and specific company news. Gains across other regional markets were more subdued as investors awaited key U.S. inflation data and assessed Federal Reserve remarks.",1,1
SETI,2025-02-10,23:54,Thailand to set up long-term equity fund to support flagging market By Reuters,https://www.investing.com/news/economy-news/thailand-to-set-up-longterm-equity-fund-to-support-flagging-market-3860556,Positive,5,"Thailand's government plans to establish a new long-term equity fund, potentially within an existing ESG framework, offering tax breaks for five years. This initiative aims to support the struggling Thai stock market, which is the worst-performing in Asia this year, by slowing down selling pressure from existing long-term funds.",1,5
SETI,2025-02-06,22:15,"Asia stocks mixed with gains in China shares, RBI cuts rate as expected By Investing.com",https://www.investing.com/news/stock-market-news/asia-stocks-mixed-with-gains-in-china-shares-rbi-cuts-rate-as-expected-3855432,Negative,5,"Most Asian stock markets declined due to global uncertainty and risk aversion, although Chinese shares rose on AI optimism despite US tariffs. The Reserve Bank of India cut interest rates as expected to stimulate its economy, but this move was largely priced in and had minimal immediate market impact.",-1,-5
SETI,2025-02-03,22:11,Asia stocks rebound on Trump tariff delays; Chinese levies still on tap By Investing.com,https://www.investing.com/news/stock-market-news/asia-stocks-rebound-on-trump-tariff-delays-chinese-levies-still-on-tap-3846709,Positive,5,"Asian stocks rebounded significantly after the U.S. postponed tariffs on Canada and Mexico, easing immediate trade war concerns. While tariffs on Chinese goods were still scheduled, markets largely shrugged off these concerns, anticipating negotiations and stimulus, leading to gains in most regional indices, though Thailand's index fell.",1,5
SETI,2025-02-02,22:36,Asia stocks plunge as Trump tariffs spark global trade war fears By Investing.com,https://www.investing.com/news/stock-market-news/asia-stocks-plunge-as-trump-tariffs-spark-global-trade-war-fears-3844223,Negative,5,"Asian stock markets experienced a significant decline on Monday following the announcement of new U.S. tariffs on China, Canada, and Mexico, which sparked fears of a global trade war. This broad sell-off affected major indices across the region, including a 1.8% drop in Thailand's market, driven by concerns over trade disruptions and rising inflation.",-1,-5
SETI,2025-01-15,22:39,"Asia stocks jump on US inflation relief, BoK surprises by keeping rates steady By Investing.com",https://www.investing.com/news/stock-market-news/asia-stocks-jump-on-us-inflation-relief-bok-surprises-by-keeping-rates-steady-3815604,Positive,4,"Asian stocks experienced significant gains, primarily driven by softer U.S. inflation data that boosted global expectations for interest rate cuts. Most regional markets rose, although Japan lagged due to a stronger yen, while South Korea's market climbed despite its central bank unexpectedly keeping rates unchanged.",1,4
SETI,2025-01-14,22:24,"Asia stocks inch up tracking Wall Street, spotlight on key US inflation data By Investing.com",https://www.investing.com/news/stock-market-news/asia-stocks-inch-up-tracking-wall-street-spotlight-on-key-us-inflation-data-3813180,Neutral,5,"Asian stocks exhibited mixed performance, with some markets seeing limited gains tracking Wall Street while others, including Thailand, Singapore, and Malaysia, experienced declines. Investor caution dominated ahead of key U.S. inflation data and amid reduced expectations for Federal Reserve rate cuts in 2025.",0,0
SETI,2024-12-25,22:46,"Asia stocks muted amid thin trading, Japan shares jump on record budget plans By Investing.com",https://www.investing.com/news/stock-market-news/asia-stocks-muted-amid-thin-trading-japan-shares-jump-on-record-budget-plans-3788671,Neutral,3,"Asian stock markets were largely quiet due to thin holiday trading, with Japan shares rising on news of a record budget plan while markets in China and Thailand remained muted despite stimulus efforts in China. The region was also digesting recent signals from the Federal Reserve regarding interest rate cuts.",0,0
