publish_date,publish_time,title,url,sentiment,importance,summary,translate
2025-06-09,23:10,"Huawei chips trail US by one generation, but workarounds in place, says CEO By Investing.com",https://www.investing.com/news/stock-market-news/huawei-chips-trail-us-by-one-generation-but-workarounds-in-place-says-ceo-4087877,Neutral,5,"Huawei's CEO stated their chip technology is one generation behind leading US counterparts due to sanctions but is employing workarounds and significant R&D to narrow the gap. He highlighted efforts to promote their Ascend AI chips as domestic rivals to NVIDIA, signaling determination to adapt and compete despite the disadvantage.",CEO ของ Huawei กล่าวว่าเทคโนโลยีชิปของพวกเขาล้าหลังคู่แข่งชั้นนำของสหรัฐฯ หนึ่งรุ่นเนื่องจากมาตรการคว่ำบาตร แต่กำลังใช้ workarounds และ R&D จำนวนมากเพื่อลดช่องว่างนี้ เขาเน้นย้ำถึงความพยายามในการส่งเสริมชิป Ascend AI ของพวกเขาในฐานะคู่แข่งในประเทศของ NVIDIA ซึ่งส่งสัญญาณถึงความมุ่งมั่นที่จะปรับตัวและแข่งขันแม้จะเสียเปรียบก็ตาม
2025-06-09,22:35,Asia stocks upbeat on US-China trade talk hopes By Investing.com,https://www.investing.com/news/stock-market-news/asia-stocks-upbeat-on-uschina-trade-talk-hopes-4087873,Positive,5,"Most Asian stocks rose on Tuesday, driven by optimism surrounding ongoing US-China trade talks and reports suggesting the US might lift some chip export restrictions on China. This positive sentiment, along with cues from Wall Street, led to broad gains across regional markets despite some weak economic data from China.",หุ้นส่วนใหญ่ในเอเชียปรับตัวสูงขึ้นในวันอังคาร โดยได้รับแรงหนุนจากความเชื่อมั่นเชิงบวกเกี่ยวกับ ongoing US-China trade talks และรายงานที่บ่งชี้ว่า US อาจ lift some chip export restrictions on China ความเชื่อมั่นเชิงบวกนี้ ประกอบกับ cues จาก Wall Street นำไปสู่ broad gains ทั่วทั้งตลาดในภูมิภาค แม้ว่าจะมี weak economic data บางส่วนจากจีน
2025-06-09,20:01,"Trump orders deployment of 700 Marines to Los Angeles, Hegseth confirms By Investing.com",https://www.investing.com/news/economy-news/trump-orders-deployment-of-700-marines-to-los-angeles-hegseth-confirms-4087832,Neutral,1,"President Trump authorized the deployment of 700 Marines to Los Angeles to support federal personnel and property during ongoing anti-ICE protests and civil unrest. The move, confirmed by Defense Secretary Pete Hegseth, comes in response to escalating demonstrations involving highway blockades and property damage. While Governor Newsom and Mayor Bass condemned the deployment as unconstitutional, Trump defended it as essential to restore order.",ประธานาธิบดี Trump อนุมัติการส่งกำลังพล 700 Marines ไปยัง Los Angeles เพื่อสนับสนุนเจ้าหน้าที่รัฐบาลกลางและทรัพย์สินระหว่างการประท้วงต่อต้าน ICE และความไม่สงบทางแพ่งที่กำลังดำเนินอยู่ การเคลื่อนไหวนี้ได้รับการยืนยันโดยรัฐมนตรีกลาโหม Pete Hegseth ซึ่งเกิดขึ้นเพื่อตอบสนองต่อการประท้วงที่ทวีความรุนแรงขึ้นซึ่งเกี่ยวข้องกับการปิดกั้นทางหลวงและความเสียหายต่อทรัพย์สิน ในขณะที่ Governor Newsom และ Mayor Bass ประณามการส่งกำลังพลดังกล่าวว่าขัดต่อรัฐธรรมนูญ Trump ปกป้องว่าจำเป็นต่อการฟื้นฟูความสงบเรียบร้อย
2025-06-09,15:49,Tesla shares gain as Trump wishes Musk ’well’ By Investing.com,https://www.investing.com/news/stock-market-news/tesla-shares-gain-as-trump-wishes-musk-well-4087512,Positive,4,"Following a public disagreement last week, former President Donald Trump adopted a more neutral tone towards Tesla CEO Elon Musk, wishing him well and stating he would keep his Tesla and Starlink service. The article notes that Tesla shares gained significantly on this news.","หลังจากความขัดแย้งต่อหน้าสาธารณชนเมื่อสัปดาห์ที่แล้ว อดีตประธานาธิบดี Donald Trump ได้ปรับท่าทีเป็นกลางมากขึ้นต่อ CEO ของ Tesla, Elon Musk โดยอวยพรให้เขาโชคดีและกล่าวว่าเขาจะยังคงใช้ Tesla และบริการ Starlink ของเขาต่อไป บทความระบุว่าหุ้นของ Tesla ปรับตัวสูงขึ้นอย่างมีนัยสำคัญจากข่าวนี้"
2025-06-09,13:43,Apple Launches iOS 26 By Investing.com,https://www.investing.com/news/assorted/apple-launches-ios-26-432SI-4087381,Positive,5,"Apple previewed iOS 26, a major update featuring a new ""Liquid Glass"" design and integrated ""Apple Intelligence"" for enhanced AI capabilities. The update includes significant improvements to core apps like Phone, Messages, Camera, and Photos, as well as new features for CarPlay, Apple Music, Maps, Wallet, and a new Apple Games app, aiming to make the iPhone more helpful and personal.","Apple ได้เปิดตัว iOS 26 ซึ่งเป็นการอัปเดตครั้งใหญ่ที่มีดีไซน์ใหม่ ""Liquid Glass"" และผสานรวม ""Apple Intelligence"" เพื่อเพิ่มขีดความสามารถด้าน AI การอัปเดตนี้มีการปรับปรุงที่สำคัญสำหรับแอปหลัก เช่น Phone, Messages, Camera และ Photos รวมถึงฟีเจอร์ใหม่สำหรับ CarPlay, Apple Music, Maps, Wallet และแอป Apple Games ใหม่ โดยมีเป้าหมายที่จะทำให้ iPhone มีประโยชน์และเป็นส่วนตัวมากขึ้น"
2025-06-09,11:42,NVIDIA stock gains as Huang kicks off European tour with UK his first stop By Investing.com,https://www.investing.com/news/stock-market-news/nvidia-stock-gains-as-huang-kicks-off-european-tour-with-uk-his-first-stop-4087267,Positive,5,"NVIDIA CEO Jensen Huang kicked off a European tour in the UK, announcing significant collaborations with the UK government on AI initiatives, including investments in AI labs, skills training, and research centers, aligning with the UK's substantial AI funding and ""sovereign AI"" strategy. NVIDIA is also expanding its AI infrastructure partnerships across other European countries like Sweden, Germany, and France.","CEO ของ NVIDIA, Jensen Huang เริ่มต้นการเดินทางในยุโรปที่ UK โดยประกาศความร่วมมือที่สำคัญกับรัฐบาล UK ในโครงการริเริ่มด้าน AI ซึ่งรวมถึงการลงทุนใน AI labs, skills training และ research centers ซึ่งสอดคล้องกับงบประมาณด้าน AI จำนวนมากของ UK และกลยุทธ์ ""sovereign AI"" นอกจากนี้ NVIDIA ยังขยายความร่วมมือด้าน AI infrastructure ในประเทศอื่นๆ ในยุโรป เช่น Sweden, Germany และ France อีกด้วย"
2025-06-09,08:00,What are the three big things in markets now? RBC weighs in By Investing.com,https://www.investing.com/news/stock-market-news/what-are-the-three-big-things-in-markets-now-rbc-weighs-in-4086621,Neutral,5,"RBC Capital analysts identified three key market trends: improving 2026 EPS outlooks, a shift to less favorable investor sentiment according to the AAII survey, and seasonal patterns suggesting near-term strength followed by potential later-year difficulty. While the EPS trend is seen as positive, the sentiment shift and seasonal caution temper the outlook despite a comparison suggesting room for recovery through year-end.","นักวิเคราะห์ของ RBC Capital ระบุแนวโน้มตลาดที่สำคัญ 3 ประการ ได้แก่ การปรับปรุงมุมมอง 2026 EPS ที่ดีขึ้น, การเปลี่ยนแปลงไปสู่ความเชื่อมั่นของนักลงทุนที่ไม่เอื้ออำนวยตามผลสำรวจ AAII และรูปแบบตามฤดูกาลที่บ่งชี้ถึงความแข็งแกร่งในระยะใกล้ตามด้วยความยากลำบากที่อาจเกิดขึ้นในช่วงปลายปี แม้ว่าแนวโน้ม EPS จะถูกมองว่าเป็นบวก แต่การเปลี่ยนแปลงความเชื่อมั่นและความระมัดระวังตามฤดูกาลก็ลดทอนแนวโน้มลง แม้ว่าการเปรียบเทียบจะบ่งชี้ถึงช่องว่างสำหรับการฟื้นตัวจนถึงสิ้นปีก็ตาม"
2025-06-09,07:31,Tesla shares slip after double downgrade amid Trump feud fallout By Investing.com,https://www.investing.com/news/stock-market-news/tesla-downgraded-as-uncertainty-abounds-4086552,Negative,5,"Baird analysts downgraded Tesla stock to Neutral, citing near-term uncertainties including lofty expectations for new products, key-man risk associated with Elon Musk's political activities, and increasing competition. They also lowered some near-term delivery estimates, leading to a slip in the stock price.",นักวิเคราะห์ของ Baird ปรับลดอันดับหุ้น Tesla เป็น Neutral โดยอ้างถึงความไม่แน่นอนในระยะใกล้ ซึ่งรวมถึงความคาดหวังที่สูงสำหรับผลิตภัณฑ์ใหม่ ความเสี่ยงจากบุคคลสำคัญที่เกี่ยวข้องกับกิจกรรมทางการเมืองของ Elon Musk และการแข่งขันที่เพิ่มขึ้น พวกเขายังได้ปรับลดประมาณการการส่งมอบในระยะใกล้บางส่วน ซึ่งนำไปสู่การลดลงของราคาหุ้น
2025-06-09,07:00,"Trump administration deploys Marines to Los Angeles, vows to intensify migrant raids By Reuters",https://www.investing.com/news/stock-market-news/los-angeles-police-order-immigration-protesters-in-downtown-to-go-home-4086443,Negative,3,"The Trump administration deployed U.S. Marines to Los Angeles and intensified raids on suspected undocumented immigrants, sparking widespread protests and political conflict. This extraordinary use of military force for civil disturbance occurred over state and local objections, leading to clashes with protesters and a lawsuit from California.","รัฐบาล Trump ส่ง U.S. Marines ไปยัง Los Angeles และเพิ่มความเข้มข้นในการบุกค้นผู้ต้องสงสัยว่าเป็นผู้อพยพผิดกฎหมาย, ก่อให้เกิดการประท้วงอย่างกว้างขวางและความขัดแย้งทางการเมือง การใช้กำลังทหารอย่างที่ไม่เคยมีมาก่อนเพื่อความไม่สงบภายในประเทศนี้เกิดขึ้นจากการคัดค้านของรัฐและท้องถิ่น, นำไปสู่การปะทะกับผู้ประท้วงและการฟ้องร้องจาก California"
2025-06-09,06:56,Bernstein says $200K Bitcoin target ’high-conviction but conservative’ By Investing.com,https://www.investing.com/news/cryptocurrency-news/bernstein-says-200k-bitcoin-target-highconviction-but-conservative-4086408,Positive,4,"Bernstein analysts reiterated a ""high-conviction but conservative"" $200,000 price target for Bitcoin while highlighting increasing mainstream and institutional interest in broader blockchain applications like stablecoins and tokenization, particularly on Ethereum. They note the success of Bitcoin and Ethereum ETFs as evidence of institutional adoption and believe the value narrative for public blockchains is at a critical inflection point.","นักวิเคราะห์ของ Bernstein ย้ำเป้าหมายราคาที่ ""high-conviction but conservative"" ที่ $200,000 สำหรับ Bitcoin พร้อมเน้นย้ำถึงความสนใจที่เพิ่มขึ้นในกระแสหลักและสถาบันในแอปพลิเคชัน blockchain ที่กว้างขึ้น เช่น stablecoins และ tokenization โดยเฉพาะบน Ethereum พวกเขาสังเกตความสำเร็จของ Bitcoin และ Ethereum ETFs ว่าเป็นหลักฐานของการยอมรับในระดับสถาบัน และเชื่อว่าเรื่องราวคุณค่าสำหรับ public blockchains อยู่ในจุดเปลี่ยนที่สำคัญ"
